[2025-10-14T23:12:20.547+0530][3.400s][info][gc,metaspace] GC(6) Metaspace: 295K(448K)->295K(448K) NonClass: 279K(320K)->279K(320K) Class: 16K(128K)->16K(128K)
[2025-10-14T23:12:20.547+0530][3.400s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 191M->0M(512M) 2.076ms
[2025-10-14T23:12:20.548+0530][3.400s][info][gc,cpu      ] GC(6) User=0.00s Sys=0.00s Real=0.00s
[2025-10-14T23:12:21.587+0530][4.439s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2025-10-14T23:12:21.587+0530][4.439s][info][gc,task     ] GC(7) Using 10 workers of 10 for evacuation
[2025-10-14T23:12:21.589+0530][4.441s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.19ms
[2025-10-14T23:12:21.589+0530][4.441s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.10ms
[2025-10-14T23:12:21.589+0530][4.441s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 1.08ms
[2025-10-14T23:12:21.589+0530][4.441s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.43ms
[2025-10-14T23:12:21.589+0530][4.441s][info][gc,phases   ] GC(7)   Other: 0.17ms
[2025-10-14T23:12:21.589+0530][4.441s][info][gc,heap     ] GC(7) Eden regions: 238->0(294)
[2025-10-14T23:12:21.589+0530][4.441s][info][gc,heap     ] GC(7) Survivor regions: 1->1(30)
[2025-10-14T23:12:21.589+0530][4.441s][info][gc,heap     ] GC(7) Old regions: 0->0
[2025-10-14T23:12:21.589+0530][4.441s][info][gc,heap     ] GC(7) Humongous regions: 0->0
[2025-10-14T23:12:21.589+0530][4.441s][info][gc,metaspace] GC(7) Metaspace: 295K(448K)->295K(448K) NonClass: 279K(320K)->279K(320K) Class: 16K(128K)->16K(128K)
[2025-10-14T23:12:21.589+0530][4.441s][info][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 238M->0M(512M) 2.437ms
[2025-10-14T23:12:21.589+0530][4.441s][info][gc,cpu      ] GC(7) User=0.00s Sys=0.00s Real=0.00s
[2025-10-14T23:12:22.964+0530][5.816s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[2025-10-14T23:12:22.964+0530][5.816s][info][gc,task     ] GC(8) Using 10 workers of 10 for evacuation
[2025-10-14T23:12:22.966+0530][5.818s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.17ms
[2025-10-14T23:12:22.966+0530][5.818s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.12ms
[2025-10-14T23:12:22.966+0530][5.818s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 0.98ms
[2025-10-14T23:12:22.966+0530][5.818s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.49ms
